date,open,high,low,close,adj_close,volume
Jun 14 2022,3763.52,3778.18,3705.68,3735.48,3735.48,4126400000
Jun 13 2022,3838.15,3838.15,3734.30,3749.63,3749.63,4572820000
Jun 10 2022,3974.39,3974.39,3900.16,3900.86,3900.86,3936120000
Jun 09 2022,4101.65,4119.10,4017.17,4017.82,4017.82,3192330000
Jun 08 2022,4147.12,4160.14,4107.20,4115.77,4115.77,3090180000
Jun 07 2022,4096.47,4164.86,4080.19,4160.68,4160.68,3476470000
Jun 06 2022,4134.72,4168.78,4109.18,4121.43,4121.43,3852050000
Jun 03 2022,4137.57,4142.67,4098.67,4108.54,4108.54,3107080000
Jun 02 2022,4095.41,4177.51,4074.37,4176.82,4176.82,3604930000
Jun 01 2022,4149.78,4166.54,4073.85,4101.23,4101.23,4145710000
May 31 2022,4151.09,4168.34,4104.88,4132.15,4132.15,5192220000
May 27 2022,4077.43,4158.49,4077.43,4158.24,4158.24,3560560000
May 26 2022,3984.60,4075.14,3984.60,4057.84,4057.84,3961940000
May 25 2022,3929.59,3999.33,3925.03,3978.73,3978.73,4322190000
May 24 2022,3942.94,3955.68,3875.13,3941.48,3941.48,3901640000
May 23 2022,3919.42,3981.88,3909.04,3973.75,3973.75,3392770000
May 20 2022,3927.76,3943.42,3810.32,3901.36,3901.36,4278520000
May 19 2022,3899.00,3945.96,3876.58,3900.79,3900.79,4212140000
May 18 2022,4051.98,4051.98,3911.91,3923.68,3923.68,4428960000
May 17 2022,4052.00,4090.72,4033.93,4088.85,4088.85,3846580000
